feedback_id,customer_id,product_id,rating,feedback_text,feedback_date
1,1,1,4,"Average product, could be better",2026-07-23 07:35:08.364204
2,2,2,4,Fantastic support and fast shipping,2026-05-05 07:35:08.364275
3,3,3,1,Very satisfied with the experience,2026-03-12 07:35:08.364492
4,4,4,3,Very satisfied with the experience,2026-04-06 07:35:08.364531
5,5,5,4,Very satisfied with the experience,2026-05-23 07:35:08.364571
6,6,6,2,Delivery was late,2026-02-14 07:35:08.364609
7,7,7,2,Good value for money,2026-03-23 07:35:08.364646
8,8,8,3,"Average product, could be better",2026-03-12 07:35:08.364690
9,9,9,1,"Average product, could be better",2026-02-21 07:35:08.364728
10,10,10,2,Delivery was late,2026-07-17 07:35:08.364767
11,11,11,5,"Average product, could be better",2026-04-14 07:35:08.364808
12,12,12,1,Good value for money,2026-05-06 07:35:08.364845
13,13,13,3,Good value for money,2026-02-10 07:35:08.364882
14,14,14,4,Very satisfied with the experience,2026-07-18 07:35:08.364921
15,15,15,2,Very satisfied with the experience,2026-05-21 07:35:08.364960
16,16,16,2,Very satisfied with the experience,2026-04-20 07:35:08.364997
17,17,17,5,Fantastic support and fast shipping,2026-07-16 07:35:08.365034
18,18,18,4,Good value for money,2026-07-01 07:35:08.365071
19,19,19,4,Delivery was late,2026-06-28 07:35:08.365107
20,20,20,1,Delivery was late,2026-05-30 07:35:08.365143
21,21,21,5,Great product and excellent quality,2026-06-22 07:35:08.365190
22,22,22,3,Very satisfied with the experience,2026-07-20 07:35:08.365226
23,23,23,3,Great product and excellent quality,2026-03-04 07:35:08.365262
24,24,24,3,Great product and excellent quality,2026-03-10 07:35:08.365299
25,25,25,2,Fantastic support and fast shipping,2026-05-24 07:35:08.365338
26,26,26,4,Good value for money,2026-05-08 07:35:08.365374
27,27,27,1,Delivery was late,2026-07-04 07:35:08.365450
28,28,28,4,Fantastic support and fast shipping,2026-07-31 07:35:08.365495
29,29,29,4,Delivery was late,2026-05-09 07:35:08.365535
30,30,30,5,Very satisfied with the experience,2026-07-31 07:35:08.365573
31,31,31,5,"Average product, could be better",2026-05-07 07:35:08.365611
32,32,32,5,Very satisfied with the experience,2026-06-12 07:35:08.365652
33,33,33,5,Fantastic support and fast shipping,2026-04-04 07:35:08.365692
34,34,34,4,"Average product, could be better",2026-06-21 07:35:08.365730
35,35,35,2,Delivery was late,2026-05-23 07:35:08.365767
36,36,36,4,"Average product, could be better",2026-04-16 07:35:08.365804
37,37,37,5,"Average product, could be better",2026-02-27 07:35:08.365843
38,38,38,4,Great product and excellent quality,2026-03-02 07:35:08.365882
39,39,39,3,Very satisfied with the experience,2026-04-15 07:35:08.365922
40,40,40,2,Good value for money,2026-07-26 07:35:08.365959
41,41,41,1,Fantastic support and fast shipping,2026-06-20 07:35:08.365996
42,42,42,2,Fantastic support and fast shipping,2026-07-05 07:35:08.366037
43,43,43,4,Very satisfied with the experience,2026-07-04 07:35:08.366075
44,44,44,5,Fantastic support and fast shipping,2026-05-24 07:35:08.366112
45,45,45,3,Good value for money,2026-05-26 07:35:08.366151
46,46,46,4,Good value for money,2026-02-16 07:35:08.366188
47,47,47,3,"Average product, could be better",2026-04-14 07:35:08.366224
48,48,48,2,Good value for money,2026-06-06 07:35:08.366260
49,49,49,1,Delivery was late,2026-07-18 07:35:08.366298
50,50,50,1,Very satisfied with the experience,2026-07-15 07:35:08.366334
51,51,51,5,"Average product, could be better",2026-02-23 07:35:08.366447
52,52,52,2,Great product and excellent quality,2026-02-21 07:35:08.366483
53,53,53,1,Delivery was late,2026-06-02 07:35:08.366519
54,54,54,5,Great product and excellent quality,2026-06-04 07:35:08.366557
55,55,55,3,Very satisfied with the experience,2026-02-02 07:35:08.366596
56,56,56,5,Good value for money,2026-03-03 07:35:08.366632
57,57,57,4,"Average product, could be better",2026-02-19 07:35:08.366670
58,58,58,4,Fantastic support and fast shipping,2026-03-13 07:35:08.366707
59,59,59,1,Very satisfied with the experience,2026-06-13 07:35:08.366744
60,60,60,5,Great product and excellent quality,2026-05-31 07:35:08.366782
61,61,61,3,Fantastic support and fast shipping,2026-03-23 07:35:08.366821
