product_id,product_name,category,price
1,Laptop 1,Beauty,144.76
2,Keyboard 2,Home,360.85
3,Smartphone 3,Books,57.39
4,Mouse 4,Home,355.24
5,Camera 5,Home,338.39
6,Laptop 6,Home,412.68
7,Headphones 7,Fashion,78.42
8,Headphones 8,Beauty,88.39
9,Camera 9,Electronics,153.82
10,Headphones 10,Fashion,383.63
11,Printer 11,Electronics,489.21
12,Smartwatch 12,Books,497.62
13,Laptop 13,Electronics,356.84
14,Tablet 14,Books,405.67
15,Laptop 15,Books,366.82
16,Keyboard 16,Electronics,34.79
17,Smartwatch 17,Books,149.77
18,Keyboard 18,Sports,87.14
19,Mouse 19,Electronics,215.42
20,Smartphone 20,Electronics,234.56
21,Mouse 21,Beauty,269.18
22,Tablet 22,Beauty,320.78
23,Headphones 23,Beauty,226.5
24,Smartwatch 24,Fashion,450.5
25,Tablet 25,Home,488.34
26,Laptop 26,Books,118.99
27,Keyboard 27,Books,342.96
28,Speaker 28,Sports,492.28
29,Camera 29,Books,44.29
30,Tablet 30,Books,335.82
31,Printer 31,Books,226.66
32,Tablet 32,Home,82.2
33,Tablet 33,Home,331.47
34,Headphones 34,Books,337.11
35,Tablet 35,Beauty,145.88
36,Headphones 36,Home,123.32
37,Mouse 37,Beauty,19.57
38,Printer 38,Electronics,200.54
39,Headphones 39,Books,99.05
40,Keyboard 40,Electronics,499.95
41,Smartphone 41,Sports,474.4
42,Mouse 42,Beauty,454.93
43,Mouse 43,Electronics,180.13
44,Headphones 44,Books,96.31
45,Printer 45,Home,377.73
46,Keyboard 46,Electronics,263.15
47,Smartwatch 47,Home,208.16
48,Smartwatch 48,Fashion,133.19
49,Smartphone 49,Home,155.16
50,Smartphone 50,Electronics,291.29
51,Headphones 51,Home,407.46
52,Printer 52,Fashion,431.48
53,Tablet 53,Home,280.48
54,Smartphone 54,Beauty,124.38
55,Smartphone 55,Electronics,91.3
56,Printer 56,Electronics,303.04
57,Mouse 57,Electronics,383.92
58,Speaker 58,Fashion,167.32
59,Camera 59,Electronics,485.39
60,Laptop 60,Home,140.86
61,Keyboard 61,Books,55.67
62,Tablet 62,Books,280.12
63,Smartwatch 63,Sports,294.16
64,Tablet 64,Sports,197.66
65,Smartphone 65,Books,58.86
66,Camera 66,Beauty,431.08
67,Smartphone 67,Books,489.39
68,Keyboard 68,Books,287.3
69,Printer 69,Fashion,336.75
70,Printer 70,Fashion,107.62
71,Smartwatch 71,Electronics,287.31
72,Smartphone 72,Beauty,326.71
73,Headphones 73,Sports,439.47
74,Speaker 74,Sports,189.23
75,Tablet 75,Books,22.26
76,Smartwatch 76,Books,66.9
77,Smartphone 77,Books,311.67
78,Laptop 78,Books,145.18
79,Mouse 79,Home,43.62
80,Laptop 80,Home,17.28
81,Camera 81,Sports,300.9
82,Printer 82,Beauty,455.75
83,Speaker 83,Sports,269.97
84,Camera 84,Books,205.38
85,Smartphone 85,Beauty,372.01
86,Smartwatch 86,Sports,163.1
87,Speaker 87,Sports,487.53
88,Headphones 88,Home,287.5
89,Camera 89,Fashion,363.58
90,Speaker 90,Fashion,115.63
91,Laptop 91,Home,157.7
92,Keyboard 92,Sports,418.34
93,Smartwatch 93,Electronics,208.47
94,Speaker 94,Fashion,375.44
95,Headphones 95,Home,60.37
96,Camera 96,Home,225.48
97,Camera 97,Fashion,47.6
98,Keyboard 98,Home,479.28
99,Camera 99,Fashion,459.79
100,Smartwatch 100,Fashion,364.63
101,Keyboard 101,Books,325.31
102,Tablet 102,Fashion,474.36
103,Mouse 103,Home,302.65
104,Mouse 104,Fashion,378.67
105,Headphones 105,Home,402.62
106,Printer 106,Sports,82.2
107,Camera 107,Home,23.81
108,Printer 108,Sports,12.57
109,Smartphone 109,Electronics,126.84
110,Laptop 110,Sports,182.88
111,Speaker 111,Books,31.33
112,Headphones 112,Electronics,182.63
113,Smartwatch 113,Home,31.47
114,Camera 114,Electronics,434.24
115,Keyboard 115,Fashion,402.56
116,Mouse 116,Beauty,218.8
117,Laptop 117,Home,425.85
118,Camera 118,Books,383.91
119,Smartwatch 119,Fashion,354.98
120,Smartphone 120,Beauty,484.11
121,Camera 121,Sports,119.88
122,Mouse 122,Electronics,42.22
123,Printer 123,Books,343.25
124,Smartwatch 124,Home,89.36
125,Keyboard 125,Beauty,92.63
126,Tablet 126,Sports,214.13
127,Laptop 127,Home,225.41
128,Camera 128,Home,238.57
129,Mouse 129,Beauty,163.23
130,Mouse 130,Fashion,33.84
131,Speaker 131,Fashion,32.17
132,Headphones 132,Electronics,203.01
133,Printer 133,Sports,233.92
134,Mouse 134,Fashion,242.7
135,Laptop 135,Sports,245.42
136,Speaker 136,Beauty,109.91
137,Headphones 137,Books,456.94
138,Smartwatch 138,Beauty,111.57
139,Headphones 139,Fashion,30.61
140,Headphones 140,Electronics,311.68
141,Headphones 141,Electronics,482.61
142,Keyboard 142,Beauty,364.33
143,Laptop 143,Fashion,288.3
144,Tablet 144,Electronics,172.04
145,Speaker 145,Sports,170.68
146,Smartwatch 146,Sports,364.21
147,Smartphone 147,Beauty,458.9
148,Keyboard 148,Beauty,414.55
149,Mouse 149,Sports,83.43
150,Headphones 150,Sports,213.56
151,Smartphone 151,Sports,497.12
152,Speaker 152,Books,436.11
153,Tablet 153,Electronics,380.53
154,Smartphone 154,Electronics,406.64
155,Tablet 155,Beauty,31.68
156,Tablet 156,Fashion,439.37
157,Camera 157,Beauty,338.96
158,Printer 158,Electronics,285.57
159,Keyboard 159,Beauty,416.41
160,Tablet 160,Fashion,158.56
161,Smartwatch 161,Books,238.46
162,Mouse 162,Home,373.21
163,Keyboard 163,Beauty,472.3
164,Keyboard 164,Beauty,479.05
165,Tablet 165,Sports,233.44
166,Keyboard 166,Beauty,144.62
167,Camera 167,Fashion,399.52
168,Smartphone 168,Books,195.84
169,Tablet 169,Home,451.62
170,Speaker 170,Electronics,156.65
171,Laptop 171,Electronics,224.17
172,Speaker 172,Home,343.05
173,Speaker 173,Fashion,186.74
